"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Opac url","Finding Aid URL","Archival Collection Title","Archival Collection Number","Box","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Coverage.geographic","Subject","Rights.countryCreation","Rights.rightsHolderContact","Name.photographer","Name.creator","Repository","Relation.isPartOf","Title","Format.extent","Date.created","Date.normalized","Description.note","Alt ID.local","Format.dimensions","Inscription","Description.caption","Publisher.publisherName","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090nmj","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090nmj-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606533","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","11","still image","unknown","Cityscape photographs|~|photographic postcards","Los Angeles (Calif.)","City & town life--California--Los Angeles","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4659","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Broadway at 7th St. looking South Los Angeles, Calif.","1 photographic postcard","[1939]","1939","No sender's message.","clus_1351_b11_fbroadway_1","14 x 8.5 cm. (5.5 x 3 in.)","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090nmj","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090nmj/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090nn2","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090nn2-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606534","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","14","still image","unknown","Postcards","","","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4658","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","California Poppies Greetings from California","1 postcard","unknown","","No sender's message.","clus_1351_b14_poppies_4","14 x 9 cm. (5.5 x 3.5 in.)","On Back: 1702 - ""Wood's"" Post Cards, Los Angeles","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090nn2","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090nn2/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090npk","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090npk-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606535","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","14","still image","unknown","Postcards","","California poppy","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4657","","Mitchell,  Edw. H.","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","371 - California Poppy,  ""Copa De Oro"" (Cup of Gold)","1 postcard","unknown","","Made in America by Edw. H. Mitchell at San Francisco, California.|~|No sender's message.","clus_1351_b14_poppies_2","14 x 9 cm. (5.5 x 3.5 in.)","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090npk","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090npk/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090nq3","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090nq3-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606536","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","11","still image","unknown","Postcards","Los Angeles (Calif.)","","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4656","","Tichnor art company","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Richfield Building, Los Angeles, California  T136","1 postcard","unknown","","Tichnor art company, L.A.|~|No sender's message.","T136|~|clus_1351_b11_fbuildings_1","14 x 9 cm. (5.5 x 3.5 in.)","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090nq3","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090nq3/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090nrm","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090nrm-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606537","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","14","still image","unknown","Postcards","","","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4655","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","California Poppy -- Eschscholtzia California","1 postcard.","unknown","","Could not find original postcard in box.  Cataloging from digital image.","clus_1351_b14_poppies_5","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090nrm","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090nrm/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090ns4","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090ns4-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606538","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","11","still image","unknown","Cityscape photographs|~|photographic postcards","Los Angeles (Calif.)","","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4654","Hoffman Photo Service","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","View from City Hall looking East Los Angeles, California 709","1 photographic postcard","unknown","","No sender's message.","clus_1351_b11_fbirdseyeview_2","14 x 8.5 cm. (5.5 x 3 in.)","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090ns4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090ns4/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090ntn","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090ntn-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606539","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","14","still image","unknown","Postcards","","California poppy","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4653","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","California Poppies, ""Copa De Oro"" (Cup of Gold)","1 postcard","unknown","","handwritting :""National Flower""|~|No sender's message.","clus_1351_b14_poppies_3","14 x 9 cm. (5.5 x 3.5 in.)","Published by E.P. Charlton & Co.","","E.P. Charlton & Co.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090ntn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090ntn/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090nv5","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090nv5-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606540","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","11","still image","unknown","Postcards","Elysian Park (Los Angeles, Calif.)","","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4652","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Los Angeles River Valley from Scenic Poit, Elysian Park, Mt. Lowe in the Distance, Los Angeles, Cal.","1 postcard","[1919]","1919","","clus_1351_b11_fbirdseyeview_1","14 x 8.5 cm. (5.5 x 3 in.)","On verso of postcard: Hecht's Quality Cards.  L.A. 66.Postmark: Los Angeles Cal. Mar 16 11 30PM 1919","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090nv5","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090nv5/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090nwp","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090nwp-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606541","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","11","still image","unknown","Postcards","Los Angeles (Calif.)","","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4651","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Typical Windmill Bakery Store Van De Kamp's, Los Angeles, Calif.","1 postcard","","","No sender's message.","clus_1351_b11_fbuildings_3","14 x 9 cm. (5.5 x 3.5 in.)","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090nwp","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090nwp/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090nx6","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090nx6-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606542","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","11","still image","unknown","Cityscape photographs|~|photographic postcards","Los Angeles (Calif.)","","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4650","Hoffman Photo Service","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","View from City Hall looking South Los Angeles, California 711","1 photographic postcard","unknown","","No sender's message.","clus_1351_b11_fbirdseyeview_3","14 x 8.5 cm. (5.5 x 3 in.)","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090nx6","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090nx6/manifest"
